State Code,County Code,State,County,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Median Household Income,AQI Total
1,73,Alabama,Jefferson,Birmingham,2013,12.065634967741934,23.141935483870967,13.838709677419354,21.387096774193548,0.01209883870967742,0.02038709677419355,10.225806451612904,18.903225806451612,0.7503113064516129,3.609677419354839,11.290322580645162,6.580645161290323,0.21100688709677418,0.4403225806451613,11.387096774193548,4.129032258064516,57802,51.0
1,73,Alabama,Jefferson,Birmingham,2014,9.411745809286899,23.21542288557214,12.451077943615257,21.495854063018243,0.024660149253731344,0.03886898839137645,9.278606965174129,36.98341625207297,1.186517129353234,4.746932006633499,10.845771144278608,7.956953642384106,0.20592147014925374,0.3895605306799337,9.400497512437811,3.711442786069652,57802,70.14766674354497
1,73,Alabama,Jefferson,Birmingham,2015,9.078580206666667,21.698999999999998,13.98,20.026666666666667,0.023999966666666664,0.03862666666666666,9.13,37.343333333333334,1.00942902,4.2435,10.326666666666666,6.95,0.22102668,0.4195666666666667,8.971666666666666,3.933333333333333,57802,68.25333333333333
1,73,Alabama,Jefferson,Birmingham,2016,9.524873194630873,24.991946308724835,12.791946308724832,23.093959731543624,0.02834774496644295,0.04091946308724832,9.456375838926174,39.29530201342282,0.8351175503355704,3.2869127516778525,11.328859060402685,5.275167785234899,0.20951413758389262,0.41208053691275165,10.090604026845638,3.9060402684563758,57802,71.57046979865773
2,90,Alaska,Fairbanks North Star ,Fairbanks,2014,11.658509608938548,22.701675977653633,12.189944134078212,21.16759776536313,0.010306575418994414,0.016385474860335196,10.268156424581006,15.206703910614525,5.951531268156424,9.356703910614524,9.810055865921788,14.0,0.4554438687150838,0.7159217877094972,10.79050279329609,6.983240223463687,76650,57.357541899441344
2,90,Alaska,Fairbanks North Star ,Fairbanks,2015,11.11658859936407,20.10508744038156,12.235294117647058,18.634340222575517,0.014217632750397455,0.020669316375198726,10.383147853736089,19.15898251192369,6.1590109713831485,9.831637519872814,10.082670906200319,14.764705882352942,0.4052212464228935,0.6557869634340223,9.767885532591414,6.26984126984127,76650,58.82786988669342
4,13,Arizona,Maricopa,Phoenix,2000,29.12134222492837,51.594269340974215,14.2378223495702,49.25787965616046,0.021684985673352437,0.04144842406876791,10.200573065902578,37.92836676217765,2.3374092958452724,6.133882521489971,11.929083094555875,9.790830945558739,1.0096848467048711,2.302865329512894,10.353868194842407,20.732758620689655,71799,117.70983598458652
4,13,Arizona,Maricopa,Phoenix,2001,28.836456091922006,51.033426183844014,13.100278551532034,48.637883008356546,0.019994610027855155,0.03986629526462395,10.214484679665738,35.32033426183844,2.4739953091922007,5.534401114206128,11.657381615598887,8.86350974930362,0.8579939526462396,1.9700557103064067,9.926183844011142,17.75208913649025,71799,110.57381615598885
4,13,Arizona,Maricopa,Phoenix,2002,29.89834899404762,53.913690476190474,13.5625,51.54761904761905,0.0207831875,0.04133928571428572,10.199404761904763,36.979166666666664,2.720820224702381,6.279910714285715,11.462797619047619,10.041666666666666,1.0034152068452382,2.1194940476190474,10.248511904761905,19.342261904761905,71799,117.91071428571429
4,13,Arizona,Maricopa,Phoenix,2003,29.32625523666667,52.54333333333334,13.053333333333333,50.11666666666667,0.02070635666666667,0.03950666666666667,10.296666666666667,35.906666666666666,2.5718117183333336,5.4185,11.841666666666667,8.613333333333333,0.7849117,1.7665000000000002,10.03,16.083333333333332,71799,110.72
4,13,Arizona,Maricopa,Phoenix,2004,24.573037617602427,47.247344461305005,13.174506828528072,44.80880121396055,0.022009220030349014,0.04245827010622155,10.525037936267072,38.18361153262519,2.2660953740515932,4.763429438543247,10.087253414264037,7.564491654021245,0.5618567086494689,1.3602427921092564,9.931714719271623,11.972727272727273,71799,102.52963167333425
4,13,Arizona,Maricopa,Phoenix,2005,23.953470010262258,45.51208665906499,13.88369441277081,43.013683010262255,0.024248476624857466,0.04527822120866591,10.155074116305586,40.86202964652224,2.386642443557583,3.976738882554162,10.14025085518814,6.151653363740023,0.7127472616875713,1.3577537058152793,9.900798175598633,12.941847206385404,71799,102.96921322690991
4,13,Arizona,Maricopa,Phoenix,2006,22.405263775053303,43.6,14.220682302771856,41.17057569296375,0.025669715351812367,0.046357142857142854,10.389125799573561,43.03944562899787,2.003927647121535,3.3145522388059705,8.461620469083156,5.146055437100213,0.6440956114072495,1.2870469083155651,9.863539445628998,12.167377398720681,71799,101.52345415778251
4,13,Arizona,Maricopa,Phoenix,2007,22.395812945868947,43.06837606837607,13.525641025641026,40.78347578347579,0.02364049715099715,0.04302136752136752,10.309116809116809,38.27065527065527,1.8211647955840455,2.989672364672365,8.89031339031339,4.585470085470085,0.620517707977208,1.2638888888888888,10.202279202279202,12.01994301994302,71799,95.65954415954417
4,13,Arizona,Maricopa,Phoenix,2008,20.894875136695905,42.10014619883041,13.937865497076023,39.83845029239766,0.02537909649122807,0.04469078947368421,10.240497076023392,40.54824561403509,1.9256166604532163,2.9981359649122807,8.609649122807017,4.656432748538012,0.528185159356725,1.0271198830409356,9.933479532163743,9.846266471449487,71799,94.88939512642025
