State Code,County Code,State_x,County_x,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Median Household Income,AQI Total,State_y,County_y,Total Pop,Total Male %,Total Female %,White Alone (M) %,White Alone (F) %,Black Alone (M) %,Black Alone (F) %,Am Indian+AK Native Alone (M) %,Am Indian+AK Native Alone (F) %,Asian Alone (M) %,Asian Alone (F) %,Nat. HI and PI (M) %,Nat. HI and PI (F) %,TOM_MALE
6,83,California,Santa Barbara,Lompoc,2001,5.933990095890412,14.07123287671233,9.783561643835617,13.2986301369863,0.0275723945205479,0.0364904109589041,10.394520547945206,30.936986301369863,0.3592509780821918,1.446712328767123,5.804109589041096,2.663013698630137,0.3246269136986301,0.6606849315068494,7.754794520547946,5.498630136986302,86136.0,52.397260273972606,California,Santa Barbara County,2685600,0.5026169198689306,0.4973830801310694,0.42767798629728926,0.4233847184986595,0.013659517426273459,0.01052502234137623,0.011416443252904378,0.010784927018170985,0.02839142091152815,0.031373994638069704,0.0015192135835567471,0.0012548406315162348,0.019952338397378613
6,83,California,Santa Barbara,Lompoc,2002,3.716752621753247,10.426948051948052,9.637987012987011,9.871753246753247,0.0363459626623376,0.0452451298701298,10.34577922077922,38.55357142857143,0.9819477370129872,1.6107142857142858,8.118506493506494,2.41747572815534,0.341058650974026,0.6306006493506493,7.39935064935065,5.740259740259741,86136.0,56.58306014373976,California,Santa Barbara County,2685600,0.5026169198689306,0.4973830801310694,0.42767798629728926,0.4233847184986595,0.013659517426273459,0.01052502234137623,0.011416443252904378,0.010784927018170985,0.02839142091152815,0.031373994638069704,0.0015192135835567471,0.0012548406315162348,0.019952338397378613
6,83,California,Santa Barbara,Lompoc,2003,6.25178519034091,14.008522727272728,9.917613636363637,13.221590909090908,0.0274826306818181,0.0366363636363636,10.485795454545457,31.0625,0.8744020838068182,1.455255681818182,7.862215909090909,2.227272727272727,0.3696810127840909,0.634090909090909,8.221590909090908,5.9289772727272725,86136.0,52.44034090909091,California,Santa Barbara County,2685600,0.5026169198689306,0.4973830801310694,0.42767798629728926,0.4233847184986595,0.013659517426273459,0.01052502234137623,0.011416443252904378,0.010784927018170985,0.02839142091152815,0.031373994638069704,0.0015192135835567471,0.0012548406315162348,0.019952338397378613
6,83,California,Santa Barbara,Lompoc,2004,5.867641052269602,13.283356258596974,10.119669876203575,12.602475928473178,0.0262632090784044,0.0351568088033012,10.061898211829435,30.017881705639613,0.232970969738652,0.9962861072902338,7.359009628610729,1.6785714285714286,0.3787523569463548,0.6143741403026135,7.117606602475928,5.753782668500688,86136.0,50.052711731184914,California,Santa Barbara County,2685600,0.5026169198689306,0.4973830801310694,0.42767798629728926,0.4233847184986595,0.013659517426273459,0.01052502234137623,0.011416443252904378,0.010784927018170985,0.02839142091152815,0.031373994638069704,0.0015192135835567471,0.0012548406315162348,0.019952338397378613
6,83,California,Santa Barbara,Lompoc,2005,5.493120232876712,12.38082191780822,9.7013698630137,11.72054794520548,0.026216,0.034572602739726,10.03835616438356,29.312328767123287,0.2311356232876712,0.89,6.213698630136986,1.4465753424657537,0.2988853863013698,0.4857534246575343,6.917808219178082,4.443835616438356,86136.0,46.92328767123288,California,Santa Barbara County,2685600,0.5026169198689306,0.4973830801310694,0.42767798629728926,0.4233847184986595,0.013659517426273459,0.01052502234137623,0.011416443252904378,0.010784927018170985,0.02839142091152815,0.031373994638069704,0.0015192135835567471,0.0012548406315162348,0.019952338397378613
6,83,California,Santa Barbara,Lompoc,2006,5.42613701923077,12.052197802197805,9.582417582417582,11.40934065934066,0.0269848846153846,0.0361868131868131,10.48076923076923,30.725274725274726,0.1334033434065934,0.6489010989010988,5.453296703296704,1.0274725274725274,0.2201164958791208,0.4103021978021978,6.820054945054945,3.587912087912088,86136.0,46.75,California,Santa Barbara County,2685600,0.5026169198689306,0.4973830801310694,0.42767798629728926,0.4233847184986595,0.013659517426273459,0.01052502234137623,0.011416443252904378,0.010784927018170985,0.02839142091152815,0.031373994638069704,0.0015192135835567471,0.0012548406315162348,0.019952338397378613
6,83,California,Santa Barbara,Lompoc,2007,5.143391220055711,12.256267409470752,8.90807799442897,11.623955431754874,0.0278248746518105,0.0369136490250696,10.43732590529248,31.29805013927577,0.2858524456824512,0.8629526462395544,5.132311977715878,1.4066852367688023,0.3593439777158774,0.5635097493036212,6.254874651810585,5.128133704735376,86136.0,49.456824512534816,California,Santa Barbara County,2685600,0.5026169198689306,0.4973830801310694,0.42767798629728926,0.4233847184986595,0.013659517426273459,0.01052502234137623,0.011416443252904378,0.010784927018170985,0.02839142091152815,0.031373994638069704,0.0015192135835567471,0.0012548406315162348,0.019952338397378613
6,83,California,Santa Barbara,Lompoc,2008,3.2834452237569063,9.834254143646408,8.033149171270718,9.303867403314918,0.0287694226519337,0.0381325966850828,10.732044198895029,32.50276243093923,0.7500612596685083,1.2151933701657458,4.701657458563536,1.9281767955801103,0.2372593563535912,0.3962707182320442,6.056629834254144,3.56353591160221,86136.0,47.29834254143646,California,Santa Barbara County,2685600,0.5026169198689306,0.4973830801310694,0.42767798629728926,0.4233847184986595,0.013659517426273459,0.01052502234137623,0.011416443252904378,0.010784927018170985,0.02839142091152815,0.031373994638069704,0.0015192135835567471,0.0012548406315162348,0.019952338397378613
6,83,California,Santa Barbara,Lompoc,2009,3.875088405479452,9.778082191780822,8.646575342465754,9.304109589041095,0.0268452164383561,0.0358328767123287,10.586301369863014,30.413698630136988,0.5896503136986301,0.9138356164383562,4.402739726027397,1.5671232876712329,0.1170615534246575,0.2667123287671232,5.891780821917808,2.0054794520547947,86136.0,43.29041095890411,California,Santa Barbara County,2685600,0.5026169198689306,0.4973830801310694,0.42767798629728926,0.4233847184986595,0.013659517426273459,0.01052502234137623,0.011416443252904378,0.010784927018170985,0.02839142091152815,0.031373994638069704,0.0015192135835567471,0.0012548406315162348,0.019952338397378613
6,83,California,Santa Barbara,Lompoc,2010,3.898839618131868,9.947802197802195,8.56868131868132,9.428571428571429,0.0273499697802197,0.0357802197802197,10.458791208791208,30.34065934065934,0.5870769093406594,1.020467032967033,4.362637362637362,1.4395604395604396,0.0723555082417582,0.193543956043956,4.486263736263736,1.3324175824175823,86136.0,42.54120879120879,California,Santa Barbara County,2685600,0.5026169198689306,0.4973830801310694,0.42767798629728926,0.4233847184986595,0.013659517426273459,0.01052502234137623,0.011416443252904378,0.010784927018170985,0.02839142091152815,0.031373994638069704,0.0015192135835567471,0.0012548406315162348,0.019952338397378613
